borough,areaName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bronx,Soundview Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Westchester Square,114,102,3,57,4,-1,11,-5,8,6,55,0,0,45,46
Bronx,Throgs Neck-Schuylerville,13,92,9,19,-2,0,12,-12,16,18,17,6,5,5,36
Bronx,Pelham Bay-Country Club-City Island,9,28,7,21,19,79,18,42,30,28,8,55,16,14,1
Bronx,Co-op City,-1,71,7,0,-1,177,4,-1,-1,0,0,-1,0,0,0
Bronx,Hart Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Ferry Point Park-St. Raymond Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Pelham Parkway-Van Nest,16,1,18,-2,3,0,-12,18,19,29,4,2,6,9,61
Bronx,Morris Park,27,17,-2,1,2,-1,-7,146,6,11,1,6,6,4,14
Bronx,Pelham Gardens,4,13,2,19,12,3,14,29,3,17,7,20,8,15,17
Bronx,Allerton,22,11,2,19,-3,14,-1,7,17,4,32,29,116,137,146
Bronx,Hutchinson Metro Center,0,0,0,-2,0,2,0,-1,0,0,0,0,0,-3,0
Bronx,Williamsbridge-Olinville,102,239,76,229,85,239,280,57,158,29,131,99,235,545,494
Bronx,Eastchester-Edenwald-Baychester,102,57,23,32,34,23,57,20,32,11,15,-1,19,27,37
Bronx,Wakefield-Woodlawn,46,48,77,3,84,3,10,16,14,37,50,290,113,66,323
Bronx,Woodlawn Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Van Cortlandt Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Bronx Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Pelham Bay Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Financial District-Battery Park City,421,1458,456,200,-32,770,278,1195,897,-17,427,892,1,587,858
Manhattan,Tribeca-Civic Center,39,140,47,238,21,80,896,62,269,448,67,-19,22,7,12
Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,0,0,0,0,0,0,0,0,0,0,-112,-33,4,0,0
Manhattan,SoHo-Little Italy-Hudson Square,72,9,35,33,-1,-12,226,253,59,230,273,281,80,13,4
Manhattan,Greenwich Village,173,-12,4,-47,8,-42,270,-81,10,48,62,-48,121,-4,21
Manhattan,West Village,-14,-19,-133,-23,-17,266,-30,-64,42,2,7,12,-15,-6,-1
Manhattan,Chinatown-Two Bridges,61,4,26,7,-23,1,0,92,1048,-20,4,-53,9,2,13
Manhattan,Lower East Side,366,34,-17,20,6,-36,128,480,335,281,302,168,288,462,264
Manhattan,East Village,165,84,61,157,439,91,162,84,49,188,9,66,82,75,46
Manhattan,Chelsea-Hudson Yards,1661,332,101,993,580,206,648,1593,926,376,227,136,2264,365,546
Manhattan,Hell's Kitchen,216,1655,197,1503,151,1447,1058,517,1243,325,60,336,-11,17,818
Manhattan,Midtown South-Flatiron-Union Square,307,339,-3,213,293,487,672,318,450,172,202,198,362,479,0
Manhattan,Midtown-Times Square,221,-10,-21,20,-11,54,-118,284,539,396,70,74,45,78,19
Manhattan,Stuyvesant Town-Peter Cooper Village,0,0,0,0,0,11,18,0,0,0,0,0,0,1,0
Manhattan,Gramercy,3,161,1,33,82,-23,33,2,257,66,-8,146,72,130,51
Manhattan,Murray Hill-Kips Bay,9,3,10,-19,109,62,856,529,595,439,-5,42,184,175,15
Manhattan,East Midtown-Turtle Bay,91,-31,-119,-186,88,106,357,152,-64,194,1,121,518,-52,443
Manhattan,United Nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Upper West Side-Lincoln Square,1003,21,96,-31,320,489,873,327,87,1328,9,122,-11,111,-10
Manhattan,Upper West Side (Central),-21,27,249,91,-71,-197,-38,-95,163,-57,-49,-39,142,-21,180
Manhattan,Upper West Side-Manhattan Valley,237,0,16,2,0,11,2,84,-5,33,159,199,-1,28,66
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,35,180,-44,-45,-119,317,56,396,-29,-54,316,-29,-81,-40,470
Manhattan,Upper East Side-Carnegie Hill,112,-56,-29,-69,-118,-57,-24,-66,-39,113,-12,-14,18,-40,2
Manhattan,Upper East Side-Yorkville,112,-2,3,-4,-125,-125,189,-90,73,-70,25,202,111,13,261
Manhattan,Morningside Heights,-28,-9,0,0,1,-25,418,-52,0,219,263,76,4,194,155
Manhattan,Manhattanville-West Harlem,-23,-8,0,2,12,0,0,48,0,9,7,0,7,45,9
Manhattan,Hamilton Heights-Sugar Hill,138,105,27,7,152,5,162,20,2,35,5,27,-1,264,46
Manhattan,Harlem (South),523,169,38,24,353,-63,38,73,-8,-16,257,561,26,415,186
Manhattan,Harlem (North),52,459,47,43,-18,85,278,38,108,314,455,-2,75,104,72
Manhattan,East Harlem (South),462,292,387,51,271,280,48,214,80,71,534,26,480,175,371
Manhattan,East Harlem (North),521,317,110,219,351,-15,48,298,236,252,253,477,50,346,105
Manhattan,Randall's Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Washington Heights (South),-13,-6,-39,9,53,63,60,20,108,82,12,20,26,8,8
Manhattan,Washington Heights (North),45,115,4,1,-7,17,3,27,13,26,-24,-1,59,164,313
Manhattan,Inwood,0,20,-2,0,28,-4,-2,-6,2,6,24,0,5,0,447
Manhattan,Highbridge Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Inwood Hill Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Central Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Astoria (North)-Ditmars-Steinway,81,35,45,93,33,20,18,107,100,2,13,110,33,30,109
Queens,Old Astoria-Hallets Point,260,65,72,89,226,93,126,58,261,500,39,194,749,556,465
Queens,Astoria (Central),522,259,189,129,84,73,323,193,179,162,146,201,279,88,227
Queens,Astoria (East)-Woodside (North),40,26,30,18,33,12,13,38,97,27,14,161,99,34,371
Queens,Queensbridge-Ravenswood-Dutch Kills,-7,110,-8,235,165,422,329,671,1017,248,82,1185,399,210,790
Queens,Rikers Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Sunnyside Yards (North),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,St. Michael's Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Long Island City-Hunters Point,181,166,770,2139,945,952,1213,2738,2426,1058,170,3526,1265,358,1856
Queens,Sunnyside,25,-4,3,-2,63,7,39,22,3,15,16,90,86,103,67
Queens,Woodside,84,140,23,1,27,0,34,63,24,52,132,70,107,522,105
Queens,Sunnyside Yards (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Jackson Heights,26,60,17,58,-3,7,8,47,6,5,1,8,74,146,8
Queens,East Elmhurst,33,8,93,23,28,2,23,4,21,34,47,25,57,59,45
Queens,North Corona,176,125,61,94,65,42,51,13,51,4,26,129,12,93,12
Queens,Elmhurst,165,98,149,39,85,185,55,52,61,397,187,276,147,73,561
Queens,Corona,141,127,86,47,25,23,71,66,164,74,44,58,96,66,42
Queens,Maspeth,44,29,8,40,7,36,26,9,5,14,4,22,21,-2,10
Queens,Ridgewood,141,38,57,5,5,22,69,162,119,109,166,79,109,173,51
Queens,Glendale,0,-1,0,4,1,20,1,5,-2,3,-12,3,66,6,2
Queens,Middle Village,30,11,11,0,11,7,-2,4,8,98,7,9,8,6,7
Queens,Mount Olivet & All Faiths Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Middle Village Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,St. John Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Highland Park-Cypress Hills Cemeteries (North),0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0
Queens,Rego Park,74,34,78,12,18,319,18,84,109,1,0,40,49,73,89
Queens,Forest Hills,14,34,6,30,40,122,10,10,71,34,-1,77,449,196,192
Queens,College Point,94,99,77,46,19,44,-3,9,5,222,11,6,17,14,30
Queens,Whitestone-Beechhurst,-16,24,18,3,6,14,25,5,45,14,32,9,9,34,36
Queens,Bay Terrace-Clearview,9,4,1,-1,5,3,0,2,5,1,8,2,37,3,7
Queens,Murray Hill-Broadway Flushing,58,47,28,24,13,-43,23,62,75,142,109,58,167,12,110
Queens,East Flushing,26,29,18,114,-2,26,37,1,39,30,33,43,108,68,43
Queens,Queensboro Hill,39,11,43,23,38,34,56,25,33,65,37,21,31,33,53
Queens,Flushing-Willets Point,273,204,141,193,291,78,250,125,93,757,91,250,97,413,578
Queens,Fort Totten,0,0,-1,0,0,0,0,0,0,0,0,-24,0,0,0
Queens,Kissena Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Kew Gardens Hills,19,5,2,2,5,2,3,27,2,3,6,45,3,9,7
Queens,Pomonok-Electchester-Hillcrest,11,120,53,12,4,10,47,19,72,63,9,229,23,100,15
Queens,Fresh Meadows-Utopia,6,6,17,17,8,-3,5,6,2,13,4,9,4,-4,12
Queens,Jamaica Estates-Holliswood,39,-3,-1,5,-3,27,18,6,68,27,68,3,12,5,108
Queens,Jamaica Hills-Briarwood,105,195,13,57,8,24,4,23,9,68,54,126,61,24,120
Queens,Mount Hebron & Cedar Grove Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Cunningham Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Kew Gardens,16,81,70,6,2,-2,162,4,0,17,42,19,8,56,185
Queens,Richmond Hill,22,13,7,189,13,2,16,0,4,6,1,4,2,3,10
Queens,South Richmond Hill,8,32,30,19,9,4,14,2,11,5,7,8,3,90,5
Queens,Ozone Park (North),11,22,4,12,2,7,9,7,11,4,2,23,4,6,25
Queens,Woodhaven,1,15,2,3,4,9,-4,6,4,-17,10,2,7,4,16
Queens,South Ozone Park,40,45,24,35,29,24,11,4,29,28,37,8,34,28,49
Queens,Ozone Park,9,10,0,5,5,22,25,4,2,6,7,7,25,10,12
Queens,Howard Beach-Lindenwood,8,14,-5,92,13,9,-2,2,-1,15,-13,-5,3,10,5
Queens,Spring Creek Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Auburndale,57,63,28,47,17,8,-8,15,9,24,18,12,9,19,21
Queens,Bayside,21,37,2,13,42,3,8,7,24,27,33,15,13,10,30
Queens,Douglaston-Little Neck,16,15,10,8,14,4,5,14,2,14,8,13,13,65,17
Queens,Oakland Gardens-Hollis Hills,20,19,8,9,8,18,12,11,9,5,15,11,11,19,18
Queens,Alley Pond Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Jamaica,531,133,51,37,261,5,52,37,558,670,574,851,1162,424,1326
Queens,South Jamaica,73,43,33,20,13,54,4,23,38,30,32,27,24,32,20
Queens,Baisley Park,40,23,16,33,15,21,16,28,51,28,25,33,29,28,15
Queens,Springfield Gardens (North)-Rochdale Village,46,22,32,7,10,63,67,15,97,101,259,17,26,17,36
Queens,St. Albans,19,5,26,16,17,14,8,7,100,27,20,30,30,13,18
Queens,Hollis,12,9,10,7,6,0,6,2,24,0,4,18,4,30,4
Queens,Glen Oaks-Floral Park-New Hyde Park,0,-2,4,3,0,-1,6,-3,0,3,-1,1,0,2,6
Queens,Bellerose,11,9,-1,9,14,5,5,1,4,4,5,2,1,5,3
Queens,Queens Village,17,13,11,13,18,5,0,0,-1,11,13,11,6,7,11
Queens,Cambria Heights,-2,2,4,0,0,0,1,0,0,0,0,0,-2,0,0
Queens,Laurelton,25,10,5,-2,11,8,4,8,15,11,5,3,8,7,10
Queens,Springfield Gardens (South)-Brookville,18,28,23,33,21,27,13,25,28,14,22,26,17,24,26
Queens,Rosedale,38,16,26,10,12,8,8,17,7,18,21,6,13,13,19
Queens,Montefiore Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Far Rockaway-Bayswater,12,24,16,77,19,3,-5,12,251,-4,40,236,1252,469,309
Queens,Rockaway Beach-Arverne-Edgemere,174,125,115,81,112,104,58,167,137,264,4,102,71,109,229
Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,7,9,7,-83,-29,77,46,63,73,48,104,12,25,18,11
Queens,Rockaway Community Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,LaGuardia Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Flushing Meadows-Corona Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Forest Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,John F. Kennedy International Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Jamaica Bay (East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,St. George-New Brighton,20,83,19,13,18,8,13,48,7,-8,18,24,2,7,80
Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,126,31,99,35,5,8,572,68,-39,21,28,3,11,10,277
Staten Island,Rosebank-Shore Acres-Park Hill,12,30,14,18,15,69,61,32,7,9,3,24,14,19,113
Staten Island,West New Brighton-Silver Lake-Grymes Hill,175,17,3,89,2,-299,34,5,13,52,1,13,7,7,31
Staten Island,Westerleigh-Castleton Corners,8,16,22,9,20,12,16,10,17,15,17,21,7,32,8
Staten Island,Port Richmond,4,13,12,4,10,2,66,23,46,49,-6,22,48,14,11
Staten Island,Mariner's Harbor-Arlington-Graniteville,10,32,4,18,21,30,10,9,12,43,26,23,5,17,12
Staten Island,Snug Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,46,39,39,19,19,25,11,12,63,52,34,38,26,39,28
Staten Island,New Dorp-Midland Beach,26,40,34,-44,-5,22,16,-30,113,68,34,20,8,17,23
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,24,12,14,15,-5,10,24,49,170,7,18,25,22,17,11
Staten Island,New Springville-Willowbrook-Bulls Head-Travis,19,11,37,27,105,86,62,46,22,20,20,14,14,13,22
Staten Island,Freshkills Park (North),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,Oakwood-Richmondtown,29,-1,-31,9,-45,-5,-3,6,3,23,28,15,6,23,9
Staten Island,Great Kills-Eltingville,78,35,11,50,23,24,34,47,32,31,44,39,40,70,60
Staten Island,Arden Heights-Rossville,35,53,52,40,17,13,22,38,24,14,13,29,19,30,18
Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow,72,113,120,144,153,104,94,100,169,146,80,75,81,60,70
Staten Island,Tottenville-Charleston,58,39,31,29,12,5,46,19,27,5,49,65,40,57,56
Staten Island,Freshkills Park (South),0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
Staten Island,Fort Wadsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,Hoffman & Swinburne Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,Miller Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staten Island,Great Kills Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
