areaName,Borough,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brownsville,Brooklyn,2.4166666666666665,4.5,6.25,12.583333333333334,16.666666666666668,40.333333333333336,45.083333333333336,51.5,46.666666666666664,51.0,34.916666666666664,63.5,71.5,65.41666666666667,46.333333333333336,40.0
Bushwick,Brooklyn,25.416666666666668,55.666666666666664,71.75,160.41666666666666,471.1666666666667,914.75,1056.25,1360.25,1916.75,1636.25,2163.3333333333335,2417.0,1323.3333333333333,1397.25,1586.5833333333333,1135.5
Cambria Heights,Queens,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0833333333333333,1.0833333333333333,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334,1.0833333333333333,1.0,1.1666666666666667,3.0
Canarsie,Brooklyn,2.0833333333333335,8.25,2.6666666666666665,7.666666666666667,11.25,21.916666666666668,19.916666666666668,26.666666666666668,35.25,34.583333333333336,25.666666666666668,31.0,45.916666666666664,40.5,36.083333333333336,34.0
Carroll Gardens,Brooklyn,51.833333333333336,42.083333333333336,59.083333333333336,60.166666666666664,165.41666666666666,211.66666666666666,228.66666666666666,238.83333333333334,199.91666666666666,170.33333333333334,281.9166666666667,181.83333333333334,101.33333333333333,123.16666666666667,127.83333333333333,106.5
Castle Hill,Bronx,0.25,0.25,1.0,0.16666666666666666,2.5,8.0,26.416666666666668,21.666666666666668,12.083333333333334,6.083333333333333,2.5833333333333335,5.25,6.083333333333333,2.3333333333333335,3.6666666666666665,3.0
Central Harlem,Manhattan,313.0,285.75,430.3333333333333,585.5833333333334,768.1666666666666,899.6666666666666,1036.75,959.8333333333334,878.8333333333334,875.75,1174.3333333333333,1151.5,683.25,747.9166666666666,772.1666666666666,615.5
Central Park South,Manhattan,93.75,78.08333333333333,88.58333333333333,103.75,114.66666666666667,116.5,111.33333333333333,99.66666666666667,74.66666666666667,80.91666666666667,107.5,94.16666666666667,50.916666666666664,69.0,52.166666666666664,51.5
Chelsea,Manhattan,569.8333333333334,445.0833333333333,535.4166666666666,701.5833333333334,893.1666666666666,973.0833333333334,1010.75,1050.8333333333333,887.4166666666666,857.5,1496.6666666666667,917.75,655.4166666666666,856.1666666666666,792.9166666666666,576.0
Chinatown,Manhattan,26.5,26.583333333333332,29.0,37.416666666666664,58.166666666666664,63.416666666666664,69.66666666666667,84.33333333333333,68.41666666666667,82.91666666666667,132.25,103.08333333333333,50.083333333333336,65.75,65.5,50.5
